id;title;description;publication_date;price;cover;cover_content_type
1;Table Fish;Dynamic programming;2024-03-06;32786;../fake-data/blob/hipster.png;image/png
2;Bahrain Principal;radical Configuration Director;2024-03-06;45797;../fake-data/blob/hipster.png;image/png
3;Pass;Borders Sudan Mall;2024-03-06;96215;../fake-data/blob/hipster.png;image/png
4;interfaces auxiliary Pula;Paradigm Optimization calculating;2024-03-06;14541;../fake-data/blob/hipster.png;image/png
5;Alaska Soft FTP;Georgia Generic;2024-03-06;16847;../fake-data/blob/hipster.png;image/png
6;bus;cross-platform;2024-03-06;78128;../fake-data/blob/hipster.png;image/png
7;Berkshire Jordanian application;turn-key Soft;2024-03-06;83632;../fake-data/blob/hipster.png;image/png
8;Club architectures;generate Ports syndicate;2024-03-06;11906;../fake-data/blob/hipster.png;image/png
9;e-business indigo Account;Sweden Personal programming;2024-03-06;341;../fake-data/blob/hipster.png;image/png
10;Developer;Future-proofed;2024-03-06;93660;../fake-data/blob/hipster.png;image/png
